"Name","Glottocode","Family_ID","Nominal_words_score","Verbal_score"
"Laven","lave1248","aust1305",0.08,0.5
"Lavukaleve","lavu1241","",0.65,0.72
"Lega-Shabunda","lega1249","atla1278",0.26,0.85
"Lembena","lemb1266","nucl1709",0.45,0.82
"Lenakel","lena1238","aust1307",0.32,0.55
"Lezgian","lezg1247","nakh1245",0.32,0.63
"Liv","livv1244","ural1272",0.25,0.67
"Loniu","loni1238","aust1307",0.38,0.65
"Luiseno-Juaneño","luis1253","utoa1244",0.38,0.82
"Lule Saami","lule1254","ural1272",0.45,0.63
"Tirax","maee1241","aust1307",0.2,0.57
"Maybrat-Karon","maib1239","",0.16,0.74
"Maisin","mais1250","aust1307",0.2,0.68
"Malayalam","mala1464","drav1251",0.38,0.64
"Manange","mana1288","sino1245",0.52,0.4
"Manambu","mana1298","nduu1242",0.39,0.82
"Mandarin Chinese","mand1415","sino1245",0.03,0.45
"Mangarrayi","mang1381","mang1423",0.71,0.74
"Maori","maor1246","aust1307",0.32,0.65
"Mapudungun","mapu1245","arau1255",0.33,0.83
"Marathi","mara1378","indo1319",0.46,0.72
"Maranunggu","mara1386","west2434",0.2,0.55
"Marghi Central","marg1265","afro1255",0.35,0.79
"Maricopa","mari1440","coch1271",0.3,0.89
"Martuthunira","mart1255","pama1250",0.6,0.69
"Maru","maru1249","sino1245",0.1,0.42
"Matukar","matu1261","aust1307",0.3,0.7
"Mawng","maun1240","iwai1246",0.37,0.68
"Maxakalí","maxa1247","nucl1710",0.25,0.38
"Mayogo","mayo1261","atla1278",0.05,0.55
"Mbula","mbul1263","aust1307",0.35,0.64
"Merei","mere1242","aust1307",0.55,0.51
"Minigir","mini1251","aust1307",0.22,0.65
"Modern Greek","mode1248","indo1319",0.67,0.72
"Moksha","moks1248","ural1272",0.58,0.59
"Mwotlap","motl1237","aust1307",0.3,0.52
"Mpade","mpad1242","afro1255",0.31,0.28
"Mualang","mual1241","aust1307",0.16,0.53
"Mundang","mund1325","atla1278",0.45,0.68
"Mwaghavul","mwag1236","afro1255",0.35,0.51
"Mwani","mwan1247","atla1278",0.24,0.85
"Nanai","nana1257","tung1282",0.35,0.59
"Navajo","nava1243","atha1245",0.3,0.78
"Tundra Nenets","nene1249","ural1272",0.5,0.74
"Ngalkbun","ngal1292","gunw1250",0.45,0.74
"Nocte Naga","noct1238","sino1245",0.2,0.55
"Noon","noon1242","atla1278",0.52,0.77
"Northern Uzbek","nort2690","turk1311",0.42,0.7
"North Azerbaijani","nort2697","turk1311",0.42,0.7
"Northern Qiang","nort2722","sino1245",0.58,0.65
"Northern Qiandong Miao","nort2747","hmon1336",0.05,0.45
"North Slavey","nort2942","atha1245",0.24,0.87
"Turkish","nucl1301","turk1311",0.42,0.76
"Georgian","nucl1302","kart1248",0.32,0.76
"Kannada","nucl1305","drav1251",0.38,0.71
"Nyahkur","nyah1250","aust1305",0.03,0.61
"Oksapmin","oksa1245","nucl1709",0.32,0.8
"Onondaga","onon1246","iroq1247",0.36,0.92
"Odia","oriy1255","indo1319",0.48,0.78
"Ottawa","otta1242","algi1248",0.34,0.85
"Pa-Hng","pahn1237","hmon1336",0.03,0.42
"Pangasinan","pang1290","aust1307",0.22,0.49
"Eastern Panjabi","panj1256","indo1319",0.43,0.74
"Paulohi","paul1238","aust1307",0.36,0.64
"Pela","pela1242","sino1245",0.08,0.45
"Pendau","pend1242","aust1307",0.28,0.69
"Pilagá","pila1245","guai1249",0.32,0.52
"Vaeakau-Taumako","pile1238","aust1307",0.45,0.56
"Polish","poli1260","indo1319",0.45,0.89
"Popti'","popt1235","maya1287",0.39,0.82
"Purik-Sham-Nubra","puri1258","sino1245",0.58,0.68
"Q'anjob'al","qanj1241","maya1287",0.29,0.78
"Quiotepec Chinantec","quio1240","otom1299",0.21,0.65
"Rukai","ruka1240","aust1307",0.28,0.79
"Runga","rung1258","maba1274",0.4,0.72
"Russian","russ1263","indo1319",0.62,0.68
"Russia Buriat","russ1264","mong1349",0.45,0.76
"Saaroa","saar1237","aust1307",0.23,0.48
"Saisiyat","sais1237","aust1307",0.25,0.7
"Samoan","samo1305","aust1307",0.45,0.59
"Seimat","seim1238","aust1307",0.19,0.55
"Selkup","selk1253","ural1272",0.48,0.8
"Semelai","seme1247","aust1305",0.33,0.57
"Shabo","shab1252","",0.67,0.81
"Shoshoni","shos1248","utoa1244",0.4,0.85
"Northern Jinghpaw","sing1264","sino1245",0.25,0.44
"Skolt Saami","skol1241","ural1272",0.38,0.55
"South Saami","sout2674","ural1272",0.48,0.45
"Southern Qiang","sout2728","sino1245",0.65,0.64
"Southern Sotho","sout2807","atla1278",0.44,0.76
"South Efate","sout2856","aust1307",0.55,0.57
"Nahavaq","sout2857","aust1307",0.32,0.57
"Southern Haida","sout2956","haid1248",0.48,0.7
"South Slavey","sout2959","atha1245",0.24,0.87
"French","stan1290","indo1319",0.5,0.7
"English","stan1293","indo1319",0.43,0.65
"Sunwar","sunw1242","sino1245",0.45,0.63
"Supyire Senoufo","supy1237","atla1278",0.41,0.57
"Tabaru","taba1263","nort2923",0.31,0.5
"Tahitian","tahi1242","aust1307",0.43,0.46
"Takelma","take1257","",0.15,0.85
"Tamasheq","tama1365","afro1255",0.52,0.79
"Tamil","tami1289","drav1251",0.38,0.65
"Tausug","taus1251","aust1307",0.28,0.71
"Thakali","thak1245","sino1245",0.32,0.52
"Tibetan","tibe1272","sino1245",0.13,0.65
"Timne","timn1235","atla1278",0.64,0.79
"Tiri-Mea","tiri1258","aust1307",0.35,0.46
"To'abaita","toab1237","aust1307",0.22,0.65
"Tohono O'odham","toho1245","utoa1244",0.38,0.74
"Tojolabal","tojo1241","maya1287",0.38,0.64
"Salka-Tsishingini","tsis1238","atla1278",0.41,0.74
"Tutuba","tutu1241","aust1307",0.22,0.52
"Udihe","udih1248","tung1282",0.4,0.82
"Ugaritic","ugar1238","afro1255",0.49,0.76
"Ulithian","ulit1238","aust1307",0.2,0.75
"Unua","unua1237","aust1307",0.17,0.54
"Vera'a","vera1241","aust1307",0.48,0.38
"Vurës","vure1239","aust1307",0.15,0.38
"Waima","waim1251","aust1307",0.21,0.8
"Waiwai","waiw1244","cari1283",0.2,0.7
"East Uvean","wall1257","aust1307",0.2,0.59
"Wambule","wamb1257","sino1245",0.54,0.71
"Anta-Komnzo-Wára-Wérè-Kémä","wara1294","more1255",0.63,0.7
"Wari'","wari1268","chap1271",0.26,0.55
"Wawa","wawa1246","atla1278",0.38,0.7
"Western Lawa","west2396","aust1305",0.08,0.52
"West Uvean","west2516","aust1307",0.35,0.59
"Western Fijian","west2519","aust1307",0.32,0.72
"Akateko","west2635","maya1287",0.47,0.83
"Woi","woii1237","aust1307",0.17,0.51
"Wu Chinese","wuch1236","sino1245",0.13,0.32
"Wusa Nasu","wusa1235","sino1245",0.03,0.42
"Xamtanga","xamt1239","afro1255",0.65,0.74
"Xârâcùù","xara1244","aust1307",0.33,0.54
"Yakan","yaka1277","aust1307",0.4,0.59
"Sakha","yaku1245","turk1311",0.35,0.76
"Yemsa","yems1235","gong1255",0.66,0.72
"Yogad","yoga1237","aust1307",0.12,0.74
"Northern Yokuts","yoku1256","yoku1255",0.45,0.7
"Youle Jinuo","youl1235","sino1245",0.13,0.68
"Younuo Bunu","youn1235","hmon1336",0.05,0.42
"Yucatec Maya","yuca1254","maya1287",0.3,0.8
