"Traits","Model","BF","alpha1","sigma1","alpha2","sigma2","correlation"
"X: gender Y: mood","dep",1.21,"0.22 (0.12 0.34)","0.26 (0.26 0.27)","0.9 (0.78 1.01)","0.27 (0.27 0.28)","-0.07 (-0.08 -0.06)"
"X: gender Y: mood","indep",1.21,"0.23 (0.11 0.34)","0.26 (0.26 0.27)","0.9 (0.78 1.01)","0.27 (0.27 0.28)"," "
"X: gender Y: negation","dep",0.06,"0.23 (0.11 0.34)","0.26 (0.26 0.27)","0.98 (0.91 1.06)","0.12 (0.12 0.12)","0.01 (0.01 0.02)"
"X: gender Y: negation","indep",0.06,"0.23 (0.11 0.34)","0.26 (0.26 0.27)","0.98 (0.9 1.06)","0.12 (0.12 0.12)"," "
"X: gender Y: tense","dep",2.04,"0.23 (0.11 0.34)","0.26 (0.26 0.27)","0.8 (0.61 1)","0.79 (0.79 0.81)","0.09 (0.08 0.1)"
"X: gender Y: tense","indep",2.04,"0.23 (0.11 0.34)","0.26 (0.26 0.27)","0.8 (0.6 0.99)","0.79 (0.79 0.81)"," "
"X: gender Y: transitivity","dep",0.18,"0.23 (0.11 0.34)","0.26 (0.26 0.27)","0.34 (0.25 0.44)","0.19 (0.19 0.19)","-0.03 (-0.04 -0.02)"
"X: gender Y: transitivity","indep",0.18,"0.23 (0.12 0.34)","0.26 (0.26 0.27)","0.34 (0.25 0.44)","0.19 (0.19 0.19)"," "
"X: number Y: arguments","dep",0.06,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.7 (0.53 0.86)","0.55 (0.55 0.56)","0.02 (0.01 0.03)"
"X: number Y: arguments","indep",0.06,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.7 (0.53 0.86)","0.55 (0.55 0.56)"," "
"X: number Y: arguments_non_core","dep",0.04,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.48 (0.37 0.59)","0.24 (0.24 0.24)","0.01 (0 0.01)"
"X: number Y: arguments_non_core","indep",0.04,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.48 (0.38 0.59)","0.24 (0.24 0.24)"," "
"X: number Y: aspect","dep",0.34,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.92 (0.81 1.05)","0.29 (0.29 0.3)","-0.04 (-0.05 -0.03)"
"X: number Y: aspect","indep",0.34,"0.21 (0.14 0.28)","0.12 (0.12 0.12)","0.93 (0.8 1.04)","0.29 (0.29 0.3)"," "
"X: number Y: clause_v","dep",0.05,"0.21 (0.13 0.28)","0.12 (0.12 0.12)","0.25 (0.11 0.4)","0.42 (0.42 0.43)","-0.02 (-0.03 -0.01)"
"X: number Y: clause_v","indep",0.05,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.25 (0.11 0.39)","0.42 (0.42 0.43)"," "
"X: number Y: mood","dep",0.76,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.9 (0.79 1.02)","0.27 (0.27 0.28)","-0.06 (-0.07 -0.05)"
"X: number Y: mood","indep",0.76,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.9 (0.78 1.01)","0.27 (0.27 0.28)"," "
"X: number Y: negation","dep",0.05,"0.21 (0.13 0.28)","0.12 (0.12 0.12)","0.98 (0.91 1.06)","0.12 (0.12 0.12)","-0.01 (-0.02 0)"
"X: number Y: negation","indep",0.05,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.98 (0.9 1.06)","0.12 (0.12 0.12)"," "
"X: number Y: tense","dep",0.28,"0.21 (0.13 0.29)","0.12 (0.12 0.12)","0.8 (0.61 1)","0.79 (0.79 0.81)","-0.03 (-0.04 -0.02)"
"X: number Y: tense","indep",0.28,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.8 (0.6 0.99)","0.79 (0.79 0.81)"," "
"X: number Y: transitivity","dep",0.55,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.34 (0.25 0.44)","0.19 (0.19 0.19)","-0.05 (-0.06 -0.04)"
"X: number Y: transitivity","indep",0.55,"0.21 (0.14 0.29)","0.12 (0.12 0.12)","0.35 (0.25 0.44)","0.19 (0.19 0.19)"," "
"X: possession Y: arguments","dep",4.6,"0.47 (0.32 0.61)","0.42 (0.42 0.43)","0.7 (0.53 0.87)","0.55 (0.55 0.56)","0.14 (0.13 0.14)"
"X: possession Y: arguments","indep",4.6,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.7 (0.54 0.87)","0.55 (0.55 0.56)"," "
"X: possession Y: arguments_non_core","dep",0.01,"0.47 (0.34 0.63)","0.42 (0.42 0.43)","0.48 (0.37 0.58)","0.24 (0.24 0.24)","0.01 (0 0.02)"
"X: possession Y: arguments_non_core","indep",0.01,"0.47 (0.33 0.61)","0.42 (0.42 0.43)","0.48 (0.38 0.59)","0.24 (0.24 0.24)"," "
"X: possession Y: aspect","dep",18.11,"0.47 (0.34 0.62)","0.42 (0.42 0.43)","0.93 (0.81 1.05)","0.29 (0.29 0.3)","-0.27 (-0.28 -0.26)"
"X: possession Y: aspect","indep",18.11,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.93 (0.81 1.05)","0.29 (0.29 0.3)"," "
"X: possession Y: clause_v","dep",0.1,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.25 (0.12 0.41)","0.42 (0.42 0.43)","-0.02 (-0.03 -0.01)"
"X: possession Y: clause_v","indep",0.1,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.25 (0.11 0.4)","0.42 (0.42 0.43)"," "
"X: possession Y: mood","dep",1.14,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.9 (0.79 1.01)","0.27 (0.27 0.28)","0.07 (0.06 0.08)"
"X: possession Y: mood","indep",1.14,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.9 (0.78 1.01)","0.27 (0.27 0.28)"," "
"X: possession Y: negation","dep",4.9,"0.47 (0.34 0.62)","0.42 (0.42 0.43)","0.98 (0.91 1.06)","0.12 (0.12 0.12)","-0.14 (-0.15 -0.13)"
"X: possession Y: negation","indep",4.9,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.98 (0.9 1.06)","0.12 (0.12 0.12)"," "
"X: possession Y: tense","dep",3.18,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.8 (0.61 1)","0.79 (0.79 0.81)","0.11 (0.1 0.12)"
"X: possession Y: tense","indep",3.18,"0.48 (0.33 0.62)","0.42 (0.42 0.43)","0.8 (0.61 1.01)","0.79 (0.79 0.81)"," "
"X: possession Y: transitivity","dep",0.03,"0.47 (0.32 0.61)","0.42 (0.42 0.43)","0.35 (0.25 0.44)","0.19 (0.19 0.19)","-0.02 (-0.03 -0.01)"
"X: possession Y: transitivity","indep",0.03,"0.47 (0.33 0.62)","0.42 (0.42 0.43)","0.34 (0.25 0.44)","0.19 (0.19 0.19)"," "
